kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_longp,koi_impact,koi_duration,koi_ingress,koi_depth,koi_ror,koi_srho,koi_fittype,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky
6062929,K02315.01,Kepler-1822 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.9940,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,22.133422400,152.1840500,2454985.184,0,,0.0250,2.04900,,6.5460e+02,0.022996,23.21099,LS+MCMC,1.76,0.1416,89.98,507.0,15.65,84.400000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2175,0.4767,q1_q17_dr25_koi,5.5062394,14.5302820,16.30,1,60,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.40000,Mandel and Agol (2002 ApJ 580 171),,,006/006062/006062929/dv/kplr006062929-20160209194854_dvr.pdf,006/006062/006062929/dv/kplr006062929-001-20160209194854_dvs.pdf,5165.00,4.633,-0.3200,0.7020,0.7820,,q1_q17_dr25_stellar,297.285490,41.305592,15.571,16.247,15.517,15.281,15.133,14.183,13.661,13.573,0.328,19.819044000,41.30545000,0.47000,-0.51000,-4.100000e-04,3.100000e-04,-0.7400,-0.4000,0.8400,-0.7600,-0.4200,0.8700
7504778,K02316.01,Kepler-1188 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,17.136940800,141.0149700,2454974.015,0,,0.0300,6.41600,,3.6210e+02,0.017456,0.57647,LS+MCMC,2.05,0.1350,89.92,775.0,85.15,20.762000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.3029,0.3239,q1_q17_dr25_koi,6.3736130,22.6883740,25.40,1,81,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.98540,Mandel and Agol (2002 ApJ 580 171),,,007/007504/007504778/dv/kplr007504778-20160209194854_dvr.pdf,007/007504/007504778/dv/kplr007504778-001-20160209194854_dvs.pdf,6218.00,4.421,-0.0400,1.0770,1.1140,,q1_q17_dr25_stellar,283.103850,43.148041,15.004,15.424,14.960,14.824,14.818,13.921,13.613,13.519,0.415,18.873588000,43.14800000,-0.07000,-0.13000,7.000000e-05,1.400000e-04,0.1000,0.0400,0.1100,0.1500,0.1900,0.2400
7219825,K00238.02,Kepler-123 c,CONFIRMED,Done,2018-08-16,CANDIDATE,0.9930,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,26.695194400,143.9999000,2454977.000,0,,0.1360,4.57600,,1.3260e+02,0.010567,2.35995,LS+MCMC,1.40,0.1757,89.83,706.0,58.81,44.630000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2916,0.3447,q1_q17_dr25_koi,3.2941353,10.9022700,13.40,3,46,3,q1_q17_dr25_tce,11111111111111111000000000000000,0.32200,Mandel and Agol (2002 ApJ 580 171),,,007/007219/007219825/dv/kplr007219825-20160209194854_dvr.pdf,007/007219/007219825/dv/kplr007219825-003-20160209194854_dvs.pdf,6086.00,4.274,-0.1600,1.2160,1.0130,,q1_q17_dr25_stellar,296.998630,42.781960,14.061,14.458,14.013,13.891,13.819,12.982,12.725,12.655,0.627,19.799886000,42.78204000,-0.90000,0.30000,9.000000e-05,-3.000000e-05,-0.3900,0.0100,0.3900,-0.4600,0.1700,0.4900
7097965,K02083.01,Kepler-1791 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,7.720850470,136.5630000,2454969.563,0,,0.9630,1.82640,,2.6700e+02,0.019674,0.40645,LS+MCMC,2.53,0.0761,84.91,1021.0,257.14,10.860000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2889,0.3511,q1_q17_dr25_koi,4.7499237,25.2446160,25.00,1,127,1,q1_q17_dr25_tce,11110111011101110000000000000000,0.10710,Mandel and Agol (2002 ApJ 580 171),,,007/007097/007097965/dv/kplr007097965-20160209194854_dvr.pdf,007/007097/007097965/dv/kplr007097965-001-20160209194854_dvs.pdf,5887.00,4.290,-0.0600,1.1770,0.9850,,q1_q17_dr25_stellar,284.490330,42.648289,13.516,13.886,13.458,13.357,13.277,12.380,12.054,12.006,,18.966030400,42.64827000,0.36000,-0.08000,-9.000000e-05,,0.0100,0.0700,0.0700,0.0700,-0.0500,0.0800
4249725,K00222.01,Kepler-120 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,6.312508525,132.6544180,2454965.654,0,,0.0290,2.74550,,1.2860e+03,0.032005,2.82876,LS+MCMC,2.00,0.0561,89.91,575.0,25.94,18.129000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2589,0.4639,q1_q17_dr25_koi,11.1276245,92.9006400,112.50,2,215,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.85660,Mandel and Agol (2002 ApJ 580 171),,,004/004249/004249725/dv/kplr004249725-20160209194854_dvr.pdf,004/004249/004249725/dv/kplr004249725-001-20160209194854_dvs.pdf,4090.00,4.696,-0.1800,0.5710,0.5910,,q1_q17_dr25_stellar,287.891630,39.339130,14.735,15.714,14.665,14.315,14.100,13.019,12.418,12.307,0.002,19.192770900,39.33917200,-0.21000,0.15000,2.300000e-04,-2.400000e-04,-0.1150,0.0740,0.1370,-0.2740,0.0310,0.2760
3967326,K02084.01,Kepler-1792 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0000,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,4.195773850,135.1760500,2454968.176,0,,0.5210,2.15570,,8.7420e+02,0.027507,2.46352,LS+MCMC,3.02,0.0488,87.73,1047.0,283.78,13.190000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.1828,0.5324,q1_q17_dr25_koi,6.0058040,34.0777550,23.30,1,209,1,q1_q17_dr25_tce,00011011101110111000000000000000,0.76160,Mandel and Agol (2002 ApJ 580 171),,,003/003967/003967326/dv/kplr003967326-20160209194854_dvr.pdf,003/003967/003967326/dv/kplr003967326-001-20160209194854_dvs.pdf,5229.00,4.378,0.3200,1.0050,0.8780,,q1_q17_dr25_stellar,294.840030,39.085991,15.168,15.936,15.087,14.840,14.671,13.679,13.212,13.132,0.029,19.656003200,39.08581400,0.02000,-0.63000,-4.300000e-04,2.100000e-04,0.1400,0.1800,0.2300,0.2000,0.1400,0.2400
6768394,K02086.01,Kepler-60 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.9830,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,7.132947200,135.9925900,2454968.993,0,,0.6120,4.36800,,1.4500e+02,0.011502,0.38003,LS+MCMC,1.64,0.0719,86.52,1102.0,349.21,10.070000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2713,0.3874,q1_q17_dr25_koi,4.4081764,23.6009500,27.20,4,188,2,q1_q17_dr25_tce,11111111111111111000000000000000,0.79750,Mandel and Agol (2002 ApJ 580 171),,,006/006768/006768394/dv/kplr006768394-20160209194854_dvr.pdf,006/006768/006768394/dv/kplr006768394-002-20160209194854_dvs.pdf,5862.00,4.194,-0.1000,1.3070,0.9730,,q1_q17_dr25_stellar,288.961240,42.265011,13.959,14.389,13.913,13.776,13.717,12.804,12.569,12.516,0.004,19.264100000,42.26525000,0.70000,0.85000,-9.900000e-05,-1.070000e-04,0.0600,0.4100,0.4100,0.0500,0.4700,0.4700
6768394,K02086.02,Kepler-60 c,CONFIRMED,Done,2018-08-16,CANDIDATE,0.9720,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,8.919012280,140.0777000,2454973.078,0,,0.6190,4.14100,,1.8060e+02,0.012857,0.54873,LS+MCMC,1.84,0.0835,87.32,1023.0,258.92,13.210000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2713,0.3874,q1_q17_dr25_koi,4.7771010,23.8911700,29.60,4,150,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.49570,Mandel and Agol (2002 ApJ 580 171),,,006/006768/006768394/dv/kplr006768394-20160209194854_dvr.pdf,006/006768/006768394/dv/kplr006768394-001-20160209194854_dvs.pdf,5862.00,4.194,-0.1000,1.3070,0.9730,,q1_q17_dr25_stellar,288.961240,42.265011,13.959,14.389,13.913,13.776,13.717,12.804,12.569,12.516,0.009,19.264108000,42.26510000,1.01000,0.33000,-1.820000e-04,-4.000000e-05,-0.4600,-0.4900,0.6700,-0.4700,-0.4000,0.6200
5211199,K02158.01,Kepler-1800 b,CONFIRMED,Done,2018-08-16,CANDIDATE,0.9440,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,4.562040700,132.6429500,2454965.643,0,,0.9250,2.85210,,8.1600e+01,0.010314,0.11805,LS+MCMC,2.82,0.0592,79.48,1533.0,1306.97,5.060000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.1973,0.5102,q1_q17_dr25_koi,4.3622970,20.3223670,22.80,2,287,1,q1_q17_dr25_tce,11111111111111111000000000000000,0.38440,Mandel and Agol (2002 ApJ 580 171),,,005/005211/005211199/dv/kplr005211199-20160209194854_dvr.pdf,005/005211/005211199/dv/kplr005211199-001-20160209194854_dvs.pdf,5343.00,3.764,0.0800,2.5060,1.3300,,q1_q17_dr25_stellar,297.651430,40.352551,13.052,13.648,12.993,12.796,12.691,11.780,11.387,11.279,0.012,19.843426000,40.35220000,-0.08000,-1.28000,-6.000000e-06,9.200000e-05,-0.0400,-0.6200,0.6300,-0.1900,-0.9500,0.9700
8804455,K02159.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.8980,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,7.596699800,131.9529600,2454964.953,0,,0.7250,3.66700,,1.2750e+02,0.011117,0.45848,LS+MCMC,1.32,0.0746,86.28,964.0,204.34,11.180000,Claret (2011 A&A 529 75) ATLAS LS,0.0000,0.0000,0.2622,0.4035,q1_q17_dr25_koi,3.9403834,18.5283490,24.50,2,176,2,q1_q17_dr25_tce,11111111111111111000000000000000,0.40650,Mandel and Agol (2002 ApJ 580 171),,,008/008804/008804455/dv/kplr008804455-20160209194854_dvr.pdf,008/008804/008804455/dv/kplr008804455-002-20160209194854_dvs.pdf,5716.00,4.343,0.0400,1.0910,0.9550,,q1_q17_dr25_stellar,285.138310,45.004539,13.482,13.921,13.417,13.293,13.236,12.320,12.006,11.982,0.000,19.009231000,45.00429000,0.42000,-0.91000,-1.230000e-04,2.000000e-04,-0.3100,-0.3800,0.4900,-0.2700,-0.4100,0.4900
