toi,tid,tfopwg_disp,rastr,ra,decstr,dec,st_pmra,st_pmdec,pl_tranmid,pl_orbper,pl_trandurh,pl_trandep,pl_rade,pl_insol,pl_eqt,st_tmag,st_dist,st_teff,st_logg,st_rad,toi_created,rowupdate
2526.01,380836882,PC,18h00m32.36s,270.1348490,-65d36m49.71s,-65.6138080,-0.4850000,8.9710000,2459381.8683400,8.0113850,5.1970000,7890.0000000,11.7844000,429.9800000,1268.0000000,11.0586000,302.1450000,5923.0000000,4.2500000,1.2900000,2021-03-02 22:57:47,2023-01-24 16:02:02
2527.01,126572546,PC,09h06m36.79s,136.6533010,-50d28m49.62s,-50.4804500,-13.0330000,7.8380000,2459989.8122520,2.3018922,3.7060000,1260.0000000,12.1460000,4411.8100000,2270.0000000,11.1673000,743.0850000,6919.0000000,3.5400000,3.4500000,2021-03-02 22:57:47,2025-07-09 16:00:02
2528.01,83154030,PC,12h35m20.3s,188.8345970,-18d01m46.12s,-18.0294790,-28.2160000,-2.7930000,2459331.4467000,11.7248927,5.9280000,8540.0000000,8.7260400,206.9680000,1056.0000000,12.9363000,513.4310000,5980.0000000,4.5600000,0.9100000,2021-03-02 22:57:47,2023-01-25 10:10:01
2529.01,269333648,CP,07h55m58.69s,118.9945350,-52d21m17.4s,-52.3548330,14.9090000,17.8560000,2458538.5170000,,8.9430000,4240.0000000,10.9718000,70.9731000,808.0000000,10.6693000,296.2710000,5822.0000000,3.9700000,1.7500000,2021-03-02 22:57:47,2024-01-19 12:02:52
253.01,322063810,PC,00h57m16.44s,14.3185030,-51d35m06.9s,-51.5852510,102.6550000,-141.1300000,2458355.6227890,3.5104148,2.0000000,308.8285985,1.3286540,64.7098860,723.3731892,9.3626000,30.8431000,4020.0000000,4.4380000,0.6393710,2018-11-29 21:52:42,2024-12-05 16:02:02
2530.01,52059926,PC,01h07m05.44s,16.7726870,-68d22m05.17s,-68.3681030,-19.3070000,-11.8610000,2458350.1810000,,4.6460000,21624.0000000,11.1787000,4.4801500,405.0000000,12.7296000,216.5810000,4490.0000000,4.5500000,0.7400000,2021-03-02 22:57:47,2021-10-29 12:59:15
2531.01,262843259,PC,03h30m07.49s,52.5312180,-60d52m32.24s,-60.8756230,-11.2740000,-0.8030000,2460158.3149000,8.1484094,3.1685870,13497.6071224,10.1405034,91.9870190,789.8623006,12.4329000,314.6930000,5320.0000000,4.5200000,0.8731320,2021-03-02 22:57:47,2024-11-01 12:03:14
2532.01,20579360,PC,13h24m40.24s,201.1676530,-19d53m46.18s,-19.8961600,-41.1860000,14.5000000,2459311.2044450,16.7224532,4.2230000,11640.0000000,9.4675300,44.9403000,721.0000000,12.6460000,363.4900000,5560.0000000,4.5400000,0.8800000,2021-03-02 22:57:47,2023-01-24 16:02:02
2533.01,418012030,PC,14h10m33.31s,212.6387970,+26d25m24.35s,26.4234300,-14.0000000,19.1710000,2459682.1857850,6.6857865,2.8960000,6690.0000000,9.6535200,171.8350000,1008.0000000,11.6417000,368.4090000,6144.3000000,4.4000000,1.1300000,2021-03-02 22:57:48,2023-03-07 12:02:42
2534.01,219332978,PC,22h34m34.71s,338.6446130,-57d34m13.53s,-57.5704250,3.2000000,0.5450000,2458346.5752960,,8.4750000,5180.0000000,12.0956000,174.0590000,1011.0000000,10.8209000,392.9290000,6421.5000000,4.1200000,1.6400000,2021-03-02 22:57:48,2021-10-29 12:59:15
2535.01,204698337,PC,12h22m07.07s,185.5294630,-24d56m35.47s,-24.9431870,-68.9800000,-30.0750000,2458576.7644810,16.4452725,3.0380000,11810.0000000,9.8551800,17.0530000,566.0000000,12.7024000,343.5870000,5278.0000000,4.5100000,0.8800000,2021-03-02 22:57:48,2021-10-29 12:59:15
2536.01,20299658,PC,06h03m51.34s,90.9639360,-39d32m47.21s,-39.5464480,4.1660000,3.2860000,2459191.6002970,31.9919595,8.8239957,13054.0547159,,25.6823585,574.1541070,12.7022000,631.9510000,5780.0000000,4.4380000,,2021-03-11 22:38:58,2025-03-26 12:03:41
2537.01,399967279,CP,03h37m33.18s,54.3882660,+10d03m27.89s,10.0577460,31.4430000,-36.1690000,2459475.4672430,94.0997954,4.8738442,20525.1201107,14.5890881,7.4444740,421.2871907,12.0294000,184.9860000,4696.7000000,4.5400000,1.0143000,2021-03-11 22:38:58,2025-04-20 12:03:53
2538.01,443115574,PC,06h20m54.32s,95.2263180,-07d17m56.18s,-7.2989400,0.5040000,-3.9330000,2459226.2422400,2.9103781,3.6060000,1480.0000000,12.2597000,4501.8800000,2282.0000000,10.5970000,906.7460000,7340.8000000,4.0900000,3.5000000,2021-03-11 22:50:21,2021-10-29 12:59:15
2539.01,201508515,PC,06h12m09.23s,93.0384420,-30d47m16.55s,-30.7879310,1.6340000,-12.7170000,2459202.6130250,0.9855860,1.5285482,1343.3387762,5.2012051,4763.4215785,2118.8465446,11.5606000,386.5250000,5799.4000000,4.1100000,1.3801300,2021-03-11 23:28:53,2021-10-29 12:59:15
254.01,49687222,FA,23h26m49.29s,351.7053830,-11d43m32.06s,-11.7255730,-27.5940000,-46.0110000,2458360.0733080,20.1865390,1.8665650,1006.0418330,3.2839810,55.7433174,696.8959687,9.8343000,133.3143000,6101.0000000,4.4819600,1.0185900,2018-11-29 21:52:42,2022-10-03 16:02:02
2540.01,354518617,PC,05h30m14.05s,82.5585480,-42d41m52.61s,-42.6979460,33.6980000,-143.6980000,2458480.9438040,12.7187255,3.1582562,1144.1789073,2.5924633,12.2599233,477.2453303,8.2731000,19.1419000,4036.3000000,4.6500000,0.6610760,2021-03-11 23:28:53,2024-09-17 10:08:02
2540.02,354518617,APC,05h30m14.05s,82.5585480,-42d41m52.61s,-42.6979460,33.6980000,-143.6980000,2459223.1455970,22.0819969,3.0730000,1019.0000000,2.2872900,5.9481600,435.0000000,8.2731000,19.1419000,4036.3000000,4.6500000,0.6600000,2021-03-29 18:39:45,2024-09-17 10:08:02
2541.01,31054498,PC,05h22m02.12s,80.5088240,-25d43m20.48s,-25.7223550,-4.8850000,-3.3350000,2459199.0063530,1.4118418,2.7020000,520.0000000,8.1492400,11077.2000000,2858.0000000,9.9048000,737.8090000,7839.6000000,4.1300000,3.5200000,2021-03-11 23:36:34,2021-10-29 12:59:15
2542.01,431971818,PC,08h02m13.66s,120.5569130,-23d31m24.15s,-23.5233740,-0.4070000,3.1650000,2459963.8826850,4.1133928,2.7670768,24315.2652878,,395.7513853,1137.5627449,14.9801000,4625.1200000,5780.0000000,4.4380000,,2021-03-11 23:41:57,2023-08-09 16:02:02
2543.01,270604417,CP,09h06m23.26s,136.5969170,+03d34m03.61s,3.5676700,-7.5730000,-5.7100000,2459233.3470420,7.5427509,6.4481914,3098.3066655,10.8099759,741.7962608,1331.0393949,10.8165000,426.7980000,6349.8000000,4.1100000,1.8661900,2021-03-11 23:41:58,2024-01-30 16:02:02
2544.01,341419787,FP,08h00m36.82s,120.1533960,-54d30m32.41s,-54.5090020,8.8170000,-11.3430000,2459230.8525820,21.0689935,3.7404027,3392.7700746,15.3646915,194.5380096,952.5129011,10.7607000,377.8720000,5441.0000000,4.4100000,1.9885900,2021-03-11 23:41:58,2025-09-04 16:00:02
2545.01,149845414,CP,09h02m10.99s,135.5458030,-03d25m14.95s,-3.4208190,-14.6390000,-11.5970000,2458522.5139730,7.9940367,4.2710470,404.6194381,2.5576021,258.8217348,1022.9865778,8.9059400,107.1180000,5846.2900000,4.2652500,1.2532400,2021-03-11 23:41:58,2022-04-19 12:02:07
2546.01,388089437,APC,08h03m52.61s,120.9692210,+11d08m07.66s,11.1354620,0.0470000,0.7770000,2459578.5924290,2.1811989,0.4280000,2300.0000000,18.7156000,149.4610000,974.0000000,11.8215000,515.3560000,6125.9600000,4.1740300,1.4600000,2021-03-11 23:41:58,2022-04-19 12:02:07
2547.01,444013020,KP,08h53m17.83s,133.3242980,+08d31m22.86s,8.5230170,2.7600000,3.2520000,2459228.7942580,2.3114203,2.7479753,14975.1986739,13.1879107,957.0053443,1418.5620601,11.3020000,273.7030000,5785.7900000,4.3954300,1.0700800,2021-03-11 23:41:58,2024-11-26 16:02:02
2548.01,350293646,KP,08h44m25.68s,131.1069960,+01d51m35.61s,1.8598930,-23.4800000,-31.6530000,2459985.3041740,8.5234958,2.4440000,18942.0000000,12.0756000,34.6952000,676.0000000,10.0471000,100.5880000,5238.0000000,4.5443800,0.8400000,2021-03-11 23:41:58,2023-03-10 16:02:01
2548.02,350293646,CP,08h44m25.68s,131.1069960,+01d51m35.61s,1.8598930,-23.4800000,-31.6530000,2459985.3315640,1.4468993,0.7790000,549.0000000,4.9871100,1452.1800000,1719.0000000,10.0471000,100.5880000,5238.0000000,4.5443800,0.8400000,2023-03-23 19:51:58,2023-05-17 12:03:01
2549.01,80711765,PC,08h07m55.85s,121.9826900,-44d40m00.88s,-44.6669110,0.0000000,3.6000000,2459230.2885330,4.8580501,5.7405699,11067.0819039,,1349.9017874,1545.9494627,11.7320000,970.1230000,8303.0000000,4.4380000,,2021-03-11 23:41:58,2024-02-16 10:08:02
255.01,204317710,KP,23h04m18.02s,346.0750860,-21d16m19.26s,-21.2720170,-1.4250000,-20.1180000,2459090.0833210,2.8126485,2.8737522,13994.0625365,12.0658006,614.5934084,1269.8918153,13.7426000,745.1160000,5700.0000000,4.3970400,1.0095700,2018-11-29 21:52:42,2021-12-09 10:10:02
2550.01,294500964,FP,08h08m54.75s,122.2281170,+12d12m27.44s,12.2076230,-14.7250000,-15.1200000,2459966.5720120,9.0702531,1.9063647,3806.1953378,5.7395383,110.6280815,827.1534677,10.7757000,182.9370000,5509.1000000,4.5200000,0.9167420,2021-03-11 23:41:59,2023-12-20 16:02:19
2551.01,6276559,PC,07h30m03.74s,112.5156040,-11d47m25.73s,-11.7904800,-4.1260000,0.6310000,2459244.8057200,5.4368410,2.3350000,2660.0000000,7.7988100,560.3940000,1355.0000000,11.7664000,730.4210000,7980.0000000,4.3768500,1.4900000,2021-03-11 23:41:59,2022-07-06 12:02:40
2552.01,31515092,PC,07h43m40.49s,115.9187020,-10d15m25.49s,-10.2570810,-36.0870000,14.1540000,2459230.6933950,2.3701119,1.8215643,2049.0263458,3.0793796,122.1390568,847.8780456,11.8762000,102.2560000,4007.0000000,4.5635900,0.6847410,2021-03-11 23:41:59,2024-01-17 10:08:02
2553.01,238542895,PC,08h07m24.56s,121.8523190,-49d36m10.58s,-49.6029390,-18.0720000,19.8690000,2459232.1319560,8.3848067,4.5181283,11925.6417552,11.5945537,181.6699451,936.3549718,11.8225000,339.0250000,5757.5000000,4.2900000,1.0226400,2021-03-11 23:41:59,2025-07-09 16:00:02
2554.01,144043410,FP,08h27m01.22s,126.7550880,-20d40m48.53s,-20.6801470,-9.8240000,0.6710000,2459230.6616730,6.2636501,5.3639991,7043.2784811,17.7665063,1453.0093429,1574.6602021,10.5484000,483.9220000,6969.2000000,4.1700000,2.0443800,2021-03-11 23:41:59,2021-10-29 12:59:15
2555.01,155491828,FP,08h13m57.23s,123.4884750,-24d43m02.28s,-24.7173000,-7.3180000,4.0130000,2459233.4962930,16.0475029,3.3340000,13630.0000000,19.3344000,46.0707000,725.0000000,11.1169000,441.9320000,6337.5000000,,1.6000000,2021-03-18 16:10:35,2024-01-25 12:02:44
2556.01,468981993,APC,08h34m48.69s,128.7028710,+08d34m10.14s,8.5694830,-9.6220000,-14.9850000,2459966.9625730,8.0149323,4.6198374,4426.4689118,9.5021286,320.0737304,1078.7784380,10.7003000,277.2810000,5886.2000000,4.2500000,1.3302799,2021-03-18 16:10:35,2023-07-12 10:10:02
2557.01,269400980,PC,07h56m59.03s,119.2459480,-49d28m24.83s,-49.4735630,-5.2320000,0.9430000,2459238.5585070,9.8302309,4.0164674,5116.7220440,27.5606205,1527.8873209,1594.5662998,11.2047000,797.4740000,6683.6000000,,2.8653200,2021-03-18 16:10:35,2025-07-10 10:08:01
2558.01,283307274,PC,08h32m58.99s,128.2457900,-25d15m22.48s,-25.2562450,-7.5340000,9.1350000,2459233.1276090,17.7859152,4.2520718,6535.8664276,12.0078948,99.4145767,805.3455558,11.6919000,400.9050000,5834.0000000,4.2500000,1.3839500,2021-03-18 16:10:36,2025-07-09 16:00:02
2559.01,441453629,PC,20h48m02.81s,312.0116890,-35d50m33.38s,-35.8426050,-4.4650000,-8.9880000,2459060.0818760,4.2002507,2.6270000,25670.0000000,14.9915000,236.9400000,1093.0000000,13.1141000,502.8870000,5709.9000000,4.5300000,0.9100000,2021-03-18 22:24:53,2024-09-12 12:02:47
256.01,92226327,KP,00h44m59.67s,11.2486320,-15d16m26.79s,-15.2741090,317.5850000,-596.6170000,2458399.9286430,24.7373412,2.0690510,6560.4920870,1.8439453,0.1439176,157.0898896,11.2991000,14.9861000,3131.0000000,5.0570100,0.2155350,2018-11-30 22:06:23,2021-10-29 12:59:15
