kepid,kepoi_name,kepler_name,koi_disposition,koi_vet_stat,koi_vet_date,koi_pdisposition,koi_score,koi_fpflag_nt,koi_fpflag_ss,koi_fpflag_co,koi_fpflag_ec,koi_disp_prov,koi_comment,koi_period,koi_time0bk,koi_time0,koi_eccen,koi_longp,koi_impact,koi_duration,koi_ingress,koi_depth,koi_ror,koi_srho,koi_fittype,koi_prad,koi_sma,koi_incl,koi_teq,koi_insol,koi_dor,koi_limbdark_mod,koi_ldm_coeff4,koi_ldm_coeff3,koi_ldm_coeff2,koi_ldm_coeff1,koi_parm_prov,koi_max_sngle_ev,koi_max_mult_ev,koi_model_snr,koi_count,koi_num_transits,koi_tce_plnt_num,koi_tce_delivname,koi_quarters,koi_bin_oedp_sig,koi_trans_mod,koi_model_dof,koi_model_chisq,koi_datalink_dvr,koi_datalink_dvs,koi_steff,koi_slogg,koi_smet,koi_srad,koi_smass,koi_sage,koi_sparprov,ra,dec,koi_kepmag,koi_gmag,koi_rmag,koi_imag,koi_zmag,koi_jmag,koi_hmag,koi_kmag,koi_fwm_stat_sig,koi_fwm_sra,koi_fwm_sdec,koi_fwm_srao,koi_fwm_sdeco,koi_fwm_prao,koi_fwm_pdeco,koi_dicco_mra,koi_dicco_mdec,koi_dicco_msky,koi_dikco_mra,koi_dikco_mdec,koi_dikco_msky
6467363,K02840.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.995,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,3.67936863,134.99021,2454967.99,0.0,,0.885,3.47,,85.9,0.009964,0.09235,LS+MCMC,0.92,0.043,77.35,1112.0,361.27,4.04,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2865,0.3556,q1_q17_dr25_koi,3.6322112,15.345064,18.1,2,362.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.9084,Mandel and Agol (2002 ApJ 580 171),,,006/006467/006467363/dv/kplr006467363-20160209194854_dvr.pdf,006/006467/006467363/dv/kplr006467363-001-20160209194854_dvs.pdf,5676.0,4.474,-0.48,0.848,0.781,,q1_q17_dr25_stellar,298.35361,41.820068,13.884,14.401,13.84,13.663,13.563,12.658,12.314,12.261,0.03,19.890199,41.82014,-1.67,0.24,0.000127,-1.8e-05,-0.81,0.03,0.81,-0.79,0.07,0.79
3240158,K01106.02,Kepler-769 c,CONFIRMED,Done,2018-08-16,CANDIDATE,0.989,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,15.9868932,137.5964,2454970.596,0.0,,0.533,4.158,,178.5,0.012587,1.19847,LS+MCMC,1.62,0.1297,88.79,803.0,98.51,25.3,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2826,0.3729,q1_q17_dr25_koi,3.5892227,9.3422165,10.9,3,79.0,2.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.863,Mandel and Agol (2002 ApJ 580 171),,,003/003240/003240158/dv/kplr003240158-20160209194854_dvr.pdf,003/003240/003240158/dv/kplr003240158-002-20160209194854_dvs.pdf,6049.0,4.353,0.16,1.176,1.14,,q1_q17_dr25_stellar,292.7131,38.358212,14.818,15.242,14.762,14.636,14.551,13.684,13.394,13.392,0.515,19.514191,38.35817,-0.6,-0.1,0.00016,-3e-05,-0.08,0.39,0.4,-0.02,0.42,0.42
9964748,K02496.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,0,1,0,q1_q17_dr25_sup_koi,CENT_UNRESOLVED_OFFSET---HALO_GHOST,1.183818383,131.88403,2454964.884,0.0,,0.17,1.393,,84.3,0.008438,3.67478,LS+MCMC,0.91,0.0222,88.49,1775.0,2337.65,6.481,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2889,0.3511,q1_q17_dr25_koi,3.3306398,10.598918,12.7,1,904.0,1.0,q1_q17_dr25_tce,11111101110111011000000000000000,0.317,Mandel and Agol (2002 ApJ 580 171),,,009/009964/009964748/dv/kplr009964748-20160209194854_dvr.pdf,009/009964/009964748/dv/kplr009964748-001-20160209194854_dvs.pdf,6014.0,4.459,-0.06,0.992,1.029,,q1_q17_dr25_stellar,297.04852,46.867981,14.675,15.167,14.629,14.465,14.414,13.487,13.175,13.097,0.0,19.803494,46.86588,9.6,-7.6,-0.000729,0.00056,4.68,-2.8,5.45,4.6,-2.81,5.39
9111849,K02042.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.994,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,63.0732241,191.2532,2455024.253,0.0,,0.746,5.397,,671.3,0.025655,1.1794,LS+MCMC,17.8,0.4144,89.32,1077.0,317.78,62.8,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3215,0.3232,q1_q17_dr25_koi,11.3987055,35.425816,30.0,1,23.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.6154,Mandel and Agol (2002 ApJ 580 171),,,009/009111/009111849/dv/kplr009111849-20160209194854_dvr.pdf,009/009111/009111849/dv/kplr009111849-001-20160209194854_dvs.pdf,6234.0,3.209,0.56,6.354,2.382,,q1_q17_dr25_stellar,298.75018,45.4664,13.089,13.434,13.05,12.941,12.871,12.039,11.837,11.764,0.599,19.9166756,45.466328,-0.09,-0.26,-5e-05,7e-05,0.23,-0.22,0.31,0.15,-0.2,0.25
9574158,K02512.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,15.92108138,147.0537,2454980.054,0.0,,0.972,1.5443,,716.8,0.035087,1.63255,LS+MCMC,3.14,0.1201,88.01,645.0,40.88,28.0,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2396,0.4415,q1_q17_dr25_koi,4.02406,14.449293,16.1,1,82.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.7131,Mandel and Agol (2002 ApJ 580 171),,,009/009574/009574158/dv/kplr009574158-20160209194854_dvr.pdf,009/009574/009574158/dv/kplr009574158-001-20160209194854_dvs.pdf,5595.0,4.57,-0.14,0.82,0.917,,q1_q17_dr25_stellar,284.71988,46.25079,15.523,16.099,15.481,15.276,15.198,14.326,13.843,13.856,0.03,18.981366,46.25057,1.49,-0.78,-0.00105,0.00038,0.08,-0.29,0.3,-0.05,-0.49,0.49
4650674,K01341.01,Kepler-824 b,CONFIRMED,Done,2018-08-16,CANDIDATE,1.0,0,0,0,0,q1_q17_dr25_sup_koi,NO_COMMENT,4.51436096,134.0293,2454967.029,0.0,,0.118,3.0083,,230.7,0.013852,1.43366,LS+MCMC,1.84,0.055,89.42,1231.0,543.73,11.56,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.2844,0.3661,q1_q17_dr25_koi,4.3167586,24.762657,28.4,1,295.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.374,Mandel and Agol (2002 ApJ 580 171),,,004/004650/004650674/dv/kplr004650674-20160209194854_dvr.pdf,004/004650/004650674/dv/kplr004650674-001-20160209194854_dvs.pdf,5940.0,4.306,0.12,1.215,1.091,,q1_q17_dr25_stellar,290.47742,39.73201,14.946,15.401,14.881,14.751,14.716,13.792,13.571,13.447,0.512,19.365158,39.7321,-0.13,0.32,2e-05,-6e-05,0.05,0.02,0.05,-0.09,0.11,0.14
8365739,K03722.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.207,0,0,0,0,q1_q17_dr25_sup_koi,SWEET_EB---MOD_SEC_ALT---DEEP_V_SHAPED---HAS_SEC_TCE,2.38920105,132.05991,2454965.06,,,,3.15,,,,0.01007,none,,,,,752.42,,,,,,,q1_q17_dr25_koi,40.32729,424.31717,,1,562.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.2229,,,,008/008365/008365739/dv/kplr008365739-20160209194854_dvr.pdf,008/008365/008365739/dv/kplr008365739-001-20160209194854_dvs.pdf,,,,,,,,291.88754,44.345619,15.366,15.969,15.323,15.108,14.987,14.049,13.65,13.669,0.0,19.45918003,44.3456195,0.414,-0.0017,0.0025,-0.0011,-0.065,0.026,0.07,-0.024,-0.018,0.03
5647638,K06611.01,,FALSE POSITIVE,Done,2018-08-16,FALSE POSITIVE,0.0,0,1,0,0,q1_q17_dr25_sup_koi,LPP_DV,1.21607873,132.4476,2454965.448,0.0,,0.991,4.686,,29.4,0.007028,0.01518,LS+MCMC,1.92,0.0241,20.63,2803.0,14545.24,1.059,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3001,0.3071,q1_q17_dr25_koi,2.98135,11.588787,11.2,1,1107.0,1.0,q1_q17_dr25_tce,11111111111111111000000000000000,0.3258,Mandel and Agol (2002 ApJ 580 171),,,005/005647/005647638/dv/kplr005647638-20160209194854_dvr.pdf,005/005647/005647638/dv/kplr005647638-001-20160209194854_dvs.pdf,6234.0,3.741,-0.42,2.5,1.255,,q1_q17_dr25_stellar,298.64252,40.838909,13.333,13.807,13.308,13.13,13.025,12.105,11.839,11.772,0.212,19.909518,40.83898,0.68,0.24,-2e-05,-1.8e-05,-0.02,0.11,0.11,-0.11,0.11,0.16
10452252,K08012.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,0.989,0,0,0,0,q1_q17_dr25_sup_koi,CENT_NOFITS,34.573718512,136.2275493,2454969.228,0.0,,0.22,2.1742,,399.0,0.017559,27.82477,LS,0.42,0.1219,89.9,199.0,0.37,120.69486,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.4085,0.3004,q1_q17_dr25_koi,4.8710995,7.660442,5.7,1,36.0,7.0,q1_q17_dr25_tce,01111111111111111000000000000000,-1.0,Mandel and Agol (2002 ApJ 580 171),,,010/010452/010452252/dv/kplr010452252-20160209194854_dvr.pdf,010/010452/010452252/dv/kplr010452252-007-20160209194854_dvs.pdf,3374.0,5.066,-0.36,0.218,0.202,,q1_q17_dr25_stellar,283.15057,47.671967,15.708,16.565,15.673,15.341,,11.875,11.326,11.095,0.608,18.876738,47.67224,1.2,1.0,-0.00045,0.0001,-0.02,0.18,0.18,0.05,1.51,1.51
8444868,K07593.01,,CANDIDATE,Done,2018-08-16,CANDIDATE,,0,0,0,0,q1_q17_dr25_sup_koi,,67.412998,196.1263,2455029.126,0.0,,0.5109,9.1,,126.1,0.010613,0.50112,MCMC,1.57,0.344,89.38,572.0,25.32,49.4,Claret (2011 A&A 529 75) ATLAS LS,0.0,0.0,0.3113,0.2914,q1_q17_dr24_koi,3.8052638,7.157765,6.2,1,6.0,4.0,q1_q17_dr24_tce,11111111111111111000000000000000,,Mandel and Agol (2002 ApJ 580 171),,,008/008444/008444868/dv/kplr008444868-20141002224145_dvr.pdf,008/008444/008444868/dv/kplr008444868-004-20141002224145_dvs.pdf,6525.0,4.248,-0.18,1.359,1.194,,stellar_q1_q17,296.70224,44.449451,13.667,14.005,13.622,13.522,13.482,12.646,12.44,12.369,0.112,19.780131,44.44959,-0.72,0.52,0.00015,-0.00011,0.15,-0.4,0.42,0.2,-0.38,0.43
